Transmission category,Transmission name,Transmission description,"Option 1 - e.g. Accept envoy, take this action, do this, etc etc",Option 2 - Take this alternative action,"Option 3 - take this alternative action (option 3 is usually a crazy explosive different action you can take, that is very unexpected)","Option 1 Consequences - e.g. faction relation boost +1 or -1 (never more than this), lose 100 astra/other resources, gain a ship, or a building level, etc etc",Option 2 consequences,Option 3 consequences
Incoming convoy,Pilgrim convoy at the upper berth,"Port control has logged pilgrim convoy at the upper berth on the approach board. Crew on the tower counted bedroll bundles, water drums, and cargo nets drawn tight against the rails. Ground crews are standing by with no final instruction entered.",Assign them the public berths and let the docks absorb the mess,Move them to quarantine buoys and trade through sealed lifts,Stage a false lane inspection and siphon off their best cargo under escort,gain 220 Vulkron; lose 80 Deuterium,lose 140 Astra; lose 80 Vulkron; gain 120 Aurelite,Stellar Federacy relation +1; gain 900 Deuterium; lose 120 Vulkron
Incoming convoy,Survey convoy under Helios flag,Survey convoy under Helios flag is holding above the colony under temporary port status. The manifest came in unevenly; one page arrived before the ship was fully turned to berth; Port runners are carrying copies between the ring office and the lower desk.,Send a harbour priest and a fuel barge,Demand passenger rolls and break open the lower holds,Cut their tethers at night and chase the convoy into the shadow docks,Terran Union relation +1; gain 500 Astra; lose 180 Vulkron,lose 220 Astra; gain 220 Astra,Terran Union relation +1; gain 180 Astra; lose 200 Vulkron; lose 90 Vulkron
Incoming convoy,Nomad settler train,"A fresh entry has been cut into the berth ledger for nomad settler train. Inspection notes mention open slings, tagged crates, and a second bell rung for extra loaders... The collar remains cold while the office waits for direction.",Open the old migrant platforms and process them as guests,Auction their berth window to the highest bonded broker,Declare salvage law over the whole train before the hatches cycle,Helios Consortium relation +1; gain 620 Aurelite; lose 380 Deuterium,gain 200 Astra; lose 220 Deuterium,Helios Consortium relation -1; gain 220 Deuterium; lose 300 Aurelite; lose 80 Vulkron
Incoming convoy,Quiet Pact mendicants,"Traffic watch has marked quiet pact mendicants for handling on the upper ring; The approach log lists patched plating, low-running lamps, and a delayed answer from the lead cabin. The file is still open at the bottom of the port slate.",Give them night access only and keep them off the promenade decks,Sell them lane maps and resupply at triple rates,Swap their registry beacons and let another port inherit the trouble,Terran Union relation +1; gain 30 Vulkron; lose 140 Vulkron,lose 340 Vulkron; lose 140 Aurelite; gain 150 Aurelite,Terran Union relation +1; gain 380 Aurelite; lose 500 Aurelite
Incoming convoy,Astraean repair tender,"Astraean repair tender has come in under provisional clearance: A clerk on the ring saw family bundles, machine cases, and a string of lanterns still hanging on the outer rail. The dock light stays amber beside the request line.",Let the convoy water at the outer piers,Confine the lead hull and release the escorts,Board the escort first and force the flagship to bargain,Terran Union relation +1; gain 460 Aurelite; lose 240 Aurelite,Terran Union relation +1; lose 80 Aurelite; lose 20 Aurelite,Terran Union relation -1; gain 180 Astra; lose 160 Vulkron; lose 40 Aurelite
Incoming convoy,Varkon troop carrier,"Dock officers have opened a handling file for varkon troop carrier. The first notes mention stacked tins, wrapped frames, and side hatches left unlatched. No surface pass has been stamped yet.",Clear a chapel bay and feed the passengers,Hold the convoy in the upper dark and tax every transfer crate,Smuggle their speaker ashore and leave the ships to sort themselves out,Terran Union relation +1; gain 120 Vulkron; lose 380 Aurelite,Terran Union relation +1; gain 300 Deuterium; lose 140 Vulkron,Terran Union relation -1; gain 1240 Astra; lose 160 Deuterium
Incoming convoy,Veil merchant train,"The arrival board now shows veil merchant train on a live approach line. Harbor staff recorded hand tools, rope coils, and spare canisters lashed near the boarding collar; Berth assignment is waiting on your reply.",Grant fuel but no market access,Permit trade but impound the navigation core,Fake a reactor drill and strip a ship while the station sirens run,Voidborne Pact relation +1; gain 340 Astra; lose 330 Vulkron,Voidborne Pact relation -1; lose 220 Aurelite; gain 20 Aurelite,Voidborne Pact relation -1; gain 120 Aurelite; lose 260 Vulkron; lose 70 Vulkron
Incoming convoy,Federacy packet with sealed case,"Federacy packet with sealed case reached the port boundary before dawn-cycle. From the tower glass, the lower hull looked dusted in lane grit and coolant ash... Handling crews have paused at the ramp gate.",Host their officers in the civic hall,Split the convoy across three berths and count every crate by hand,Tow the whole train beneath the customs guns and rewrite the manifest there,Terran Union relation +1; gain 460 Aurelite; lose 420 Vulkron,Terran Union relation -1; lose 420 Astra; lose 180 Aurelite; gain 470 Vulkron,Terran Union relation +1; gain 560 Vulkron; lose 460 Vulkron
Incoming convoy,Canal families from the inner lanes,"Port control has logged canal families from the inner lanes on the approach board; Crew on the tower counted bedroll bundles, water drums, and cargo nets drawn tight against the rails. Ground crews are standing by with no final instruction entered.",Offer a safe corridor through local traffic,Force them to pay in raw stores instead of marks,Seed the convoy with your own riders and turn the onward trip into a raid,Stellar Federacy relation +1; gain 260 Astra; lose 620 Deuterium,lose 100 Astra; lose 40 Deuterium; gain 140 Vulkron,Stellar Federacy relation -1; gain 900 Astra; lose 300 Vulkron
Incoming convoy,Ore hauler with split manifests,Ore hauler with split manifests is holding above the colony under temporary port status: The manifest came in unevenly; one page arrived before the ship was fully turned to berth. Port runners are carrying copies between the ring office and the lower desk.,Open the cold storage piers and share labour crews,Keep them waiting until another faction envoy arrives,Bribe one captain to denounce the rest and seize the confused half,gain 100 Astra; lose 60 Aurelite,gain 200 Astra; gain 120 Astra; lose 180 Aurelite,Helios Consortium relation +1; gain 560 Deuterium; lose 560 Vulkron
