Transmission category,Transmission name,Transmission description,"Option 1 - e.g. Accept envoy, take this action, do this, etc etc",Option 2 - Take this alternative action,"Option 3 - take this alternative action (option 3 is usually a crazy explosive different action you can take, that is very unexpected)","Option 1 Consequences - e.g. faction relation boost +1 or -1 (never more than this), lose 100 astra/other resources, gain a ship, or a building level, etc etc",Option 2 consequences,Option 3 consequences
입항 호송대,입항 호송대 보고 001,"항만 관제소가 '입항 호송대 보고 001' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,벌크론 220 획득; 중수소 80 손실,아스트라 140 손실; 벌크론 80 손실; 아우렐라이트 120 획득,성간 연방 관계 +1; 중수소 900 획득; 벌크론 120 손실
입항 호송대,입항 호송대 보고 002,"항만 관제소가 '입항 호송대 보고 002' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,테란 연합 관계 +1; 아스트라 500 획득; 벌크론 180 손실,아스트라 220 손실; 아스트라 220 획득,테란 연합 관계 +1; 아스트라 180 획득; 벌크론 200 손실; 벌크론 90 손실
입항 호송대,입항 호송대 보고 003,"항만 관제소가 '입항 호송대 보고 003' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,헬리오스 컨소시엄 관계 +1; 아우렐라이트 620 획득; 중수소 380 손실,아스트라 200 획득; 중수소 220 손실,헬리오스 컨소시엄 관계 -1; 중수소 220 획득; 아우렐라이트 300 손실; 벌크론 80 손실
입항 호송대,입항 호송대 보고 004,"항만 관제소가 '입항 호송대 보고 004' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,테란 연합 관계 +1; 벌크론 30 획득; 벌크론 140 손실,벌크론 340 손실; 아우렐라이트 140 손실; 아우렐라이트 150 획득,테란 연합 관계 +1; 아우렐라이트 380 획득; 아우렐라이트 500 손실
입항 호송대,입항 호송대 보고 005,"항만 관제소가 '입항 호송대 보고 005' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,테란 연합 관계 +1; 아우렐라이트 460 획득; 아우렐라이트 240 손실,테란 연합 관계 +1; 아우렐라이트 80 손실; 아우렐라이트 20 손실,테란 연합 관계 -1; 아스트라 180 획득; 벌크론 160 손실; 아우렐라이트 40 손실
입항 호송대,입항 호송대 보고 006,"항만 관제소가 '입항 호송대 보고 006' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,테란 연합 관계 +1; 벌크론 120 획득; 아우렐라이트 380 손실,테란 연합 관계 +1; 중수소 300 획득; 벌크론 140 손실,테란 연합 관계 -1; 아스트라 1240 획득; 중수소 160 손실
입항 호송대,입항 호송대 보고 007,"항만 관제소가 '입항 호송대 보고 007' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,보이드본 조약 관계 +1; 아스트라 340 획득; 벌크론 330 손실,보이드본 조약 관계 -1; 아우렐라이트 220 손실; 아우렐라이트 20 획득,보이드본 조약 관계 -1; 아우렐라이트 120 획득; 벌크론 260 손실; 벌크론 70 손실
입항 호송대,입항 호송대 보고 008,"항만 관제소가 '입항 호송대 보고 008' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,테란 연합 관계 +1; 아우렐라이트 460 획득; 벌크론 420 손실,테란 연합 관계 -1; 아스트라 420 손실; 아우렐라이트 180 손실; 벌크론 470 획득,테란 연합 관계 +1; 벌크론 560 획득; 벌크론 460 손실
입항 호송대,입항 호송대 보고 009,"항만 관제소가 '입항 호송대 보고 009' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,성간 연방 관계 +1; 아스트라 260 획득; 중수소 620 손실,아스트라 100 손실; 중수소 40 손실; 벌크론 140 획득,성간 연방 관계 -1; 아스트라 900 획득; 벌크론 300 손실
입항 호송대,입항 호송대 보고 010,"항만 관제소가 '입항 호송대 보고 010' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,아스트라 100 획득; 아우렐라이트 60 손실,아스트라 200 획득; 아스트라 120 획득; 아우렐라이트 180 손실,헬리오스 컨소시엄 관계 +1; 중수소 560 획득; 벌크론 560 손실
